Index,text
20,"@realJohr @LoveGuerillos @MalteKaufmann Das frag ich mich auch da stimmt doch was nicht. Aber ohne aufrechte Antifaschisten die mit Herzblut gegen den braunen Faschisten Verein AFD, Nazis kämpfen. Das unser buntes vielfältiges Deutschland nicht im braunen Faschismus versinkt hätte er seine 20.000 Follower nicht 😂😂😂"
21,"#IS-#Sympathisant aus #Darmstadt,#Werbe-#Video für #Terrormiliz -für derart gnadenlose #Mitbürger d.v. ihnen gewünschte #Scharia anwenden"
22," tja, es können einen nicht alle Lieben. Es wird immer auch einen geben der einen nicht mag."
23,"Notre Dame, die Erzikone des kulturchristlichen Europas ist zerstört…”ALLAH IST GROSS”: Moslems lachen, während die Kathedrale von Notre Dame lichterloh brennt. https://t.co/sP9qhHly0T https://t.co/6xJPku2qZc"
24, Die deutsche Lügenpresse und Nazi Medien sind nur noch zum kotzen 🤢 schlimmer als Göbbels eben alle samt Vasallen Merkels!!
25,Können Sie doch machen. Erwischen sie wenigstens die Antifa.
26,Denk ich an Deutschland in der Nacht bin ich um den Schlaf gebracht  !
27,"#Schulz nennt #Merkel ""geschäftsführende Vorsitzende einer sozialdemokratischen Regierung"". Wer Schulz wählt, kriegt Merkel? Na Danke!"
28,"@Uwe_Junge_MdL Herr Junge, sie haben sich also auch an Tod von Walter Lübcke ergötzt mit ihrem rassistischen, antisemitischen, antidemokratischen, homophopen Verein AfD. Ihr werdet NIE was zu melden haben. https://t.co/p9plKCEI0p"
29,   Sei nicht so frech!! 😜
30,d3522b6087109c66 das waren noch Zeiten was ?
31,_Krug  Ich bleibe dabei....wir haben eine Alternative also nutzen wir sie auch..!
32,Nachhilfestunde für  |LBR| Islamistischen Terror ist EINSEITIG. Oder provozierten die Opfer vom Breitscheitplatz vorher Amri?
33,"@Uwe_Junge_MdL Einfach nur lächerlich, kaum sinken die Wählerstimmen wird einfach der Kurs gewechselt. So dumm sind die Menschen nun wirklich nicht, hoffe ich zumindest"
34,"Wenn ihr jetzt so viele Irre seid, kriegt ihr dann alle auf einmal Ausgang oder wie regeln eure Pfleger das? 🤔  Ist schon eine organisatorische Meisterleistung, wenn die Psychiatrie geschlossen zum Wandertag ausrückt.  Respekt. https://t.co/y3Zx7HBBun"
35,"#GörlitzistschlauGörlitzwähltblau 🇩🇪    Ein klares JA für @SebastianWippel     Bundesweit starten Migranten, Juden und Homosexuelle einen Gegenprotest. Zuvor hatte 'Hollywood' dazu aufgerufen den #AfD OB.-Kandidaten nicht zu wählen. https://t.co/pLiVzXpnl5"
36,"da läuft es mir kalt den Rücken runter ,verkauft und verraten, so kommt man sich vor. Was passiert , wenn diese Massen mal auf die Straße gehen und ihr ""Recht"" einfordern??? ....Als nächstes wird eine Spendenaktion der Gutmenschen ausgerufen weil die Plüschtiere knapp werden...und NEIN das gefällt mir nicht. Und noch etwas ( bevor ich wieder blöd angemacht werde) Ich habe nichts gegen wahre Kriegsflüchtlinge ,die mit Ihren FAMILIEN hier Schutz und Geborgenheit für eine befristete !!! Zeit suchen ohne das Recht zu haben andere Angehörige nachzuholen,wer geflohen ist bekommt Hilfe der Rest nicht ,basta Ihr solltet auch nicht vergessen das euer Glaube und euer Krieg  euch in die Flucht aus euren eigenen  Land getrieben haben."
37,Ich will die Sache nicht beim Namen nennen aber so was gab's schon mal  Warschau.War auch von der Regierung eingerichtet.Die Merkel ist halt kein scheiß besser
38,"Landgericht Berlin: Kammer scheint zur Entscheidung zu tendieren, dass die Bezeichnung Gedeons (AfD) als ""#Holocaustleugner"" durch Dr. Schuster (Zentralrat d. Juden i. D.) durch Meinungsfreiheit gedeckt ist. Aktuell letzte Beratung vor Entscheidung. #noafd"
39,"   _Pazderski Es gibt gewisse Ursachen für den Anstieg von Kriminalität. Was wäre Ihre Alternative? Wollen wir den Großteil von Menschen die Hilfe verwehren, weil eine Minderheit kriminel wird? Auch die sexuelle Gewalt an Frauen ist ein gesamtgesellschaftliches Problem."
40,"#Christchurch Attentäter hatte Eintrittskarte zum Schloss Neuschwansteinstein -  das weiße, deutsche Schloss muss jetzt als 'Kampf gegen rechts' in NeuSchafEurabia umbenannt, schwarz angestrichen oder ganz+gar abgerissen werden. Und Tote Hosen geben natürlich auch ein 'Konzert'. https://t.co/FnxH2NuSXv"
41,Das sag ich doch immerhin ?
42,Am 26.05. #AfD wählen!  Besuchen Sie auch unsere Webseite:  https://t.co/L58llrv8Qa https://t.co/jHhzmvUXrL
43,_IIna Wir haben wirklich nette Gesellschaft unter uns....
44,"@FinjaFinte @SebastianHampel Wenn die Menschen es nicht begreifen, kann man ihnen auch nicht helfen.Aber eins weiß ich wenn der Trend so weitergeht wird es in ein paar Jahren keine Renten mehr geben da können sie arbeiten bis sie umfallen!! In der Niederlande ist das schon im Gespräch.Die dummen GRÜNWÄHLER"
45,Artikel vom 9.4.2019    'Täglich werden in Frankreich drei Gotteshäuser Opfer von Vandalismus. Von der katholischen Kirche wurden die Vorfälle lange nicht an die große Glocke gehängt – jetzt finden sie größere Aufmerksamkeit. '   https://t.co/FBGcsohCbl
46,"Richtig so ,es wird Zeit !!!"
47," Die Welt sieht die #GroKo schon als beschlossene Sache-oder sie weiß, daß es das ist.Beschlossen. Daher die Lüge ""ein weiter so kanns nicht geben"""
48,"Bedford-Strohm: ""Reformationsjubiläum zum ersten Mal in der Geschichte in ökumenisch geschwisterlichem Geist gefeiert. Das, liebe Schwestern und Brüder, gehört für mich zu den geistvollen Wundern des vergangenen Jahres, wofür ich von Herzen dankbar bin!"" #ekdsynode"
49,Ein Politiker mit Einsicht .... ganz selten ...!
50,  Ich schau die ganze Zeit dies Foto an. Ist wie Frauentausch bei RTL II. Grausige Faszination.
51,"Altparteien kommt Sturm an #Rosenmontag wie gerufen. Lässt sich gut als Vorwand verkaufen, da es sonst weitere  #Rapefugees Fälle gäbe. #AfD"
52,"Die BVG bekommt es mal wieder nicht hin, zum heutigen Fahrplanwechsel die Netzpläne in ihrer App zu aktualisieren. |LBR| _Kampagne"
53,Bei Theresa May Galgenhumor und bei Merkel; sieht so große Trauer aus. https://t.co/8wpVdtxF0L
54,"  _Gruenen _oezdemir Ich weiß ja Nicht, ob Deine Schwester eine minderjährige Töchter hat, auf die Du scharf bist."
55, Das Ende der Merkel Diktatur. Sollte National Feiertag werden. Rauten IM Erika hat endlich fertig!!!!!!
56,"Die saarländische Ministerpräsidentin Annegret Kramp-Karrenbauer kommt wohl aus der Firma ""Schalt langsam"" ? ;-)-Emoticon Den Doppelt- und Dreifachbezug gab es schon in den 90 ziger Jahren, da war an dieser Flüchtlingsinvasion noch gar nicht zu denken."
57,"Ein #Bewohner der #Flüchtlingsunterkunft steht im #Verdacht GEZÜNDELT zu haben, wodurch die/seine #Gemeinschaftsunterkunft für #Flüchtlinge  abbrannte❗️    Für die #BKA-Statistik: Wieder ein #Brandanschlag von #Rechten bzw. #Rechtsradikalen auf eine #Asylunterkunft. #RechteGewalt https://t.co/gR3t1HKHjk"
58,Unser Zorn gibt uns die Kraft zum Widerstand.
59,"Aber wenn die ""Freunde"" Mist am laufenden Band bauen bei dem täglich enschuldige Menschen sterben isses scheißegal ja? Super Doppelmoral... ?"
60,"   Ja. Und 100 Prozent wussten nicht, dass es Pestflöhe überhaupt gibt."
61," ab seite 26 bis seite 27 oben (kein witz). extrem dünn: bei türkei-eu-beitritt kein kapitel schließen, aber auch kein neues öffnen. keine rüstungsexporte mehr in Länder, die jemen-krieg führen."
62,Infotweet: Es gibt nur 2 Geschlechter #GenderDay
63,"Peanuts, alles Peanuts! :-)"
64,"@_Fraulious Mit ein bisschen Phantasie, eventuell, nur mit einer Kandidatur für die SPD, dann doch nicht 😜"
65,"Die Gewerkschaft der Polizei ( GdP )  hält an ihren Vorwurf fest, das Straftaten in Thüringer Flüchtlingsunterkünften ,, systematisch verschwiegen wurden,, ein 29 jähriger Iraker der in Ohrdruf fest genommen wurde sitzt in Untersuchungshaft. Der Grund, dieser Iraker hat ein 4 jähriges Kind schwer sexuell missbraucht. Bei seiner Festnahme gab es massiven Widerstand von ca. hundert Asylanten gegen die Polizei. Minister Poppenhäger ( SPD ) sagt, es gäbe keine schriftlichen Anweisungen, kriminelle Taten von Asylanten zu verschweigen. GdP, sagte darauf von schriftlichen Anweisungen war auch nicht die Rede. Nachzulesen in der OTZ von 10. Oktober 2015."
66,Wir müssen den Bürgern die richtigen Antworten geben – gemäß unserer Position Mitte-Mitte/Rechts.
67,PAZ:Dem Euro droht eine Parallelwährung: Warum ein EU-Defizitverfahren gegen Italien trotz Empfehlung der EU-Kommission unwahrscheinlich ist https://t.co/9yrmRmW9x4
68,"Ich bin natürlich dafür, dass Sami A. zurückgeholt wird, wenn ein Gericht das beschliesst. Thing is, dann müssen im Gegenzug für die konsequente Erhaltung des gleichen Rechtsstaates auch diejenigen umgehend ausser Landes gebracht werden, die laut Gerichten ausreisepflichtig sind."
69,"Die Sure 9 Vers 20 aus dem Koran: ""Diejenigen die glauben und AUSWANDERN und mit ihrem Gut und ihrem Blut (bzw. Leben) für Allah´s Sache kämpfen, nehmen den höchsten Rang bei Allah ein. Sie sind es, die gewinnen werden. Ihr Herr verheißt ihnen Seine Barmherzigkeit und Gärten, in deren ewiger Wonne sie sein werden."" - Das Wort ""Rang"" kommt von (frz.) ""Ordnung"" und bedeutet Stellung in der sozialen Hierarchie oder ""Dienstgrad"" in einer Armee. Der höchste Rang bei Gläubigen (nach dem Koran) ist also der Chef über weniger Engagierte, denen er sich bedienen kann.  Den höchsten Rang nimmt ein AUSGEWANDERTER Kämpfer oder Djihadist, wenn er kämpft, also automatisch ein über andere Muslime. ... "" und mit ihrem Gut und ihrem Leben (bzw. Blut) für Allah's Sache kämpfen, ...""

https://de.wikipedia.org/wiki/D%C4%81r_al-Harb"
70,Der Evolutionsbiologe Ulrich Kutschera muß sich seit Mittwoch wegen Äußerungen über Homosexuelle vor dem Kasseler Amtsgericht verantworten. https://t.co/fCJ6PjZ0zz
71,"Was wir nicht Dulden ist Politik die eine Rassistische, Frauenfeindliche, Ideologie unterstützt. Wir brauchen die Regierenden nicht! Sie brauchen uns. Und wir bezahlen sie sogar."
72,"Hallo Freunde, Krankenhäuser sind grässlich, 05:30 Uhr ""Gefechtsalarm"", fieses Essen, Tierquäler im weißen Kittel &gt; hab`s aber überlebt 😜"
73,bitte lesen
74,Suuuper...endlich mal Klartext von einem Promi der sich nicht den Mund verbieten lässt! Die hater sind bestimmt von der CDU eingekauft um zu stänkern ! Das muss man einfach ignorieren . Hut ab ...an einen Menschen wie Felix und schämt euch zu Tode die hier die Wahrheit nicht erkennen wollen. Ihr werdet euch noch wundern wie Europa untergehen wird!
75,#Israel steht nach dem schrecklichen Terroranschlag in #Turku am Freitag an der Seite der Menschen in #Finnland. 🇫🇮🇮🇱 
76,Also ein besetztes und umerzogenes Land.
77,@Hartes_Geld https://t.co/jrxmnoa4p3
78,"Wir haben ein Recht darauf zu erfahren wie kriminell diese so dankbaren neu Bürger wirklich sind,um uns und unsere Kinder zu schützen."
79,Das war's! Danke allen Teilnehmer_innen und Besucher_innen für einen tollen HAMBURG PRIDE 2013! #HamburgPride ^ml
80,     Weil diese Antifantenbrut nicht ihre Gesichter zeigt! Solche Linksversifften Menschen gehören nicht auf die Straße sondern .... *zensiert*!
81,"ihr sollt Verboten werden , weil ""Gute"" Linke es so wollen. https://www.facebook.com/TilSchweiger/posts/10205806161741659?comment_id=10205807500855136"
82,    Geht ja auch schlecht wenn er joggt.
83,Es geht vor allem um MEHR #Organspender! Jeder von uns kann auch bald Organsuchender sein! https://t.co/ralofICzQg
84,Tapfere Nachbarn! Die schützen ihr Volk! ;-)
85,Die Denunziations-Initiative „Reconquista Internet“ inklusive der Hetze gegen die Familie der ermordeten Susanna wird belohnt.  #grimmepreis     https://t.co/8yrHVXc7DO
86,Der Umgang zw. ausländ. und dt. Katholiken in unseren Gemeinden kann zu einem Motor für ein zukunftsweisendes Zusammenleben werden.
87,Nürnberg !!!  Nach der Veranstaltung   “Rock im Park”  Da fällt mir nur eins zu ein....⤵️  #FridaysForFurture   (Vielen Dank für die zugesendeten Fotos) https://t.co/yfOKq0PPoe
88,   _silve   @_macmike    _Franz Nicht öffentlich? Die Firma Rheinmetall hat schon ein öffentliches Werbevideo auf youtube
89,Die machens Richtig genau wie die Schweizer
90,"Viva la France, unser Politkasper brauchen das. Eine Schande, dass sie so borniert und abgehoben den Schulmeister Europas geben wollen.               Und wer bezahlt den Größenwahn?"
91,"So ein Quatsch, die schützen ihre Nation."
92,"Vorwurf: „faktisches Einreiseverbot für viele ältere Fachkräfte“. Tatsache: wir wollen keine Einwanderung in Sozialsysteme. Also sollen nur diejenigen einwandern, die eine eigenständige Altersversorgung aufbauen können. Halte ich unter dem Strich für richtig #einwanderungsgesetz"
93,"Guten Morgen, Deutschland! Kann mir mal jemand erklären, warum angeblich 27% der Leute eine Partei wählen wollen, deren @ABaerbock ernsthaft behauptet jeder Deutsche Stoße 9 Gigatonnen CO-2 aus? Nur eine GrünIn kann so eine heiße Luft flatulenzen.   https://t.co/QcMNkypMCw"
94,"  Als Dolmetscher bin ich oft in PL und kann sagen, dass Merkels Kurs insgesamt mehr als belächelt wird."
95,Das nächste mal vertecke ich #rapefugees in ihrer Torte sie dumme Nazi sau #tortalerkrieg
96,schwanz ab und zu fressen geben.
97,"   McCain erwies sich bisher generell als mit Haut überzogener, verlogener politischer Dreckshaufen"
98," Alles gut. Es ist Sommer ☀️ #chillensiemalnbisschen |LBR| (P.S.: Machen wir, wenn wir wieder im Bundestag sind.)"
99, Lesen! Und: Danke für den Text. #Hatespeech
100,Und vrheimlicht und verharmlost wird nicht nur in Norddeutschland.
101,Auch das fadenscheinige sperren wird bald der Vergangenheit angehören... Traurig in der jetzigen Zeit nicht immer sofort die Wahrheit zu erfahren... Aber es lässt sich - Gott sei Dank - nicht aufhalten...
102," Hat schon eine Airline oder ein Flughafen verkündet, ""sturmsicher"" werden zu wollen? |LBR| Motto: |LBR| ""Fliegen Sie mit uns durch'n Orkan!"""
103,"Beschreibe 'beliebt'!    Wenn mir pausenlos von Menschen auf die Schultern gehauen wird, die zu dumm sind, sich selbst die Schuhe zuzubinden, mich eine gigantische ideologisierte Klimaprofiteur-Industrie pausenlos pusht und unfähige Politiker mit Denkverboten mich hofieren... https://t.co/6gWO50VGu4"
104,@Uwe_Junge_MdL Das sagt ja genau der Richtige ... ;-)
105,  Wetten.du bist so ein verbittertes scheidungskind
106,   _beck    Ein amerikanische Bürger sollte in Deutschland nicht unterrichten dürfen.
107,"naja, falsch nicht unbedingt. die wollen den Volk was verkaufen und da zeigt man ja nicht die Mängel des Produktes auf ^^"
108,Aber wenn 10 Deutsche in der Türkei sterben passiert mal wieder nichts. Keine übermäßige Bestürzung oder sonst was.
109,Ich kann nur staunen ! Armes Vaterland.
110,"  _  _putin       _silve     @_macmike  _Franz Na, noch Fragen - kannst das BKA fragen - am besten den Gutachter. Der ist bestimmt auch ein Fake, das BKA auch ?"
111,Hoffentlich wissen jetzt alle was sie zu wählen haben ....
112,"   Es gibt genug, die ihrer Kinder so erziehen."
113,"MMNews: Ramelow, Günther: AfD Bedrohung für Deutschland: Die Ministerpräsidenten von Schleswig-Holstein und Thüringen warnen in einem gemeinsamen Interview vor einem weiteren Erstarken der Rechtspopulisten. Read more... https://t.co/dUQ0jK2YSM"
114,"Irgendwann wird _Stegner behaupten, Agenda 2010 wäre der  von  abgepresst worden. Wetten dass ... ?"
115,_Frey Auch dies noch einmal ganz deutlich: Menschenfeindlichkeit und Hass sind mit dem Evangelium nicht vereinbar
116, Ich brauch ein Autogramm ☺
117," _varietas  _tamwood  Steht da irgendwo das ich irgendwas befürworte, ich habe wie von euch gewünscht lediglich die derzeitige Situation der BRD geschildert"
118,Zum Kotzen!
119,   _kire    _Bayern _Antisem Lol. Aussagen wie diese waren ja ebenso wenig hervorzusehen wie die Shoahvergleiche oder der Auftritt Atzmons. Als nächstes kommt die Distanzierung von den Ahmadinedschad-Freunden Fikentscher und Neumann :-)
120,#Bremerhaven #Bremen  Letze Wahl wird neu neu ausgezählt. Diesmal unter Aufsicht.    #AfD #Wahlen #SPD  #Wahlfälschung https://t.co/O4IzR4eOgW
121,"@Ungebeten1 Den Bericht, im Übrigen ist davon auszugehen , dass Huren mehr Ehre im Leib haben. Sie verkaufen sich, nicht die Anderen, diese Künstler schon."
122,"Wie kann ein Mensch nur so blöd sein, und sich über unaufgeräumte Zimmer aufzuregen !"
123,Wie wahr. Aber bezeichnend.
124,"Huch, Kim Jong Merkel, der Zonenlurch. https://t.co/0UnKNhnXmf"
125,GEFÄLLT MIR NICHT!!!!!! (da es den daumen ja nicht gibt)?????????????????????????????????????????????????????????????????
126,"_Mertes Von mir als komm darauf zurück. |LBR| Die Antwort kann ich Dir, was mich angeht, aber bereits jetzt geben: |LBR| Ich persönlich habe kein Interesse an einer islamischen Gesellschaft."
127,Hoffentlich kann der Pfaffe noch lange weiter pilgern!
128,Abends Gastredner beim Neujahrsempfang der SPD in Wissen im Westerwald.
129,Die größten Volksverräter sind Sozialdemokraten!
130,@BlondJedi Wenn die hier nur Gutscheine für Lebensmittel z.B.und kein Bargeld oder nur 75 Euro im Monat wie in Italien bekommen würden dann wären die ganz schnell wieder weg oder 'flüchten' erst gar nicht über tausende Kilometer und durch 5 und mehr Länder hierher! #HauAbGesetz
131,deutschland den deutschen ganz einfach !!!!
132,Das hier in D alles getürkt wird ist doch offensichtlich wir verkommen immer mehr zur Bananenrepublik
133,Danke für die Info (Y)
134,Lieber verdächtig radikal sein als volksverrat... Aber hey kopf hoch wir schaffen das ja ;)
135,"#Threema (zu Recht) zu den Plänen:    'Wir sind nicht bereit, dabei irgendwelche Kompromisse einzugehen.' [...] Sollte Deutschland die Nutzung verhindern wollen, 'würde sich das Land nahtlos in die Reihen totalitärer Staaten wie China oder Iran einreihen'.  https://t.co/CpYpbfRLTo"
136,"Angst vor #Islamisierung? Die deutsche + europäische Geschichte, Tradition, Bräuche, Sprache leben, lehren und vermitteln! #hartaberfair"
137,bitte nicht die #Türkei zum #EU-Mitglied machen! #Menschenrechte #Pressefreiheit #Islamisierung
138,_Pohlmann  Das kann man so sehen. Oder man bekämpft auf den etablierten Plattformen die rechtswidrigen Beschränkungen. Das tue ich. Nächste Woche gibt es entweder Unterlassungserklärungen von Facebook wg. rechtswidriger Löschungen und Abo-Trennungen oder es geht vor Gericht.
139,"Dem Himmel sei Dank, vorerst ist die Vernichtung Deutschlands und der Genozid am DEUTSCHEN VOLK verhindert! Wer die Statements der CDU, der CSU und der Grünen mitbekommen hat, wie sie sich bei der STASI-Trulla bedanken, der weiß wie nahe wir am Untergang waren!"
140,"Mhhhhhh,des war uns jetzt aber wirklich neu!?"
141,Toony ist ein polnischer Hurensohn
142,PEGIDA ihr könnt doch nicht verlangen das die überhaupt irgend etwas Kapieren. Sonst würden wir doch dieses Flüchtlings Problem doch gar nicht haben .
143,Und wo ist der Zünder?
144,Der schwarze Kanal der SED ist nichts anderes als das Staatsfernsehen der BRD!
145,"Halten wir mal fest. Geringverdiener (min 30% der Deutschen) befürchten das se gegen günstigere Flüchtlinge/Migranten ausgtauscht werden könnten.

Bleiben wir mal bei den Fakten:
Ein Facharbeitermigrant kostet in den ersten Jahren 1/2 bis 1/3 weniger wie der Deutsche Facharbeiter.

Bei Flüchtlingen sponsort der Staat ordentlich und subventioniert die Kosten für den Arbeitgeber. = Günstiger als der der Deutsche 

Ein Praktikant = Kosten Null + Förderungsgelder durch den Staat /Deutscher Praktikant hat das nicht

Gleichzeitige Forderung der Politik und Wirtschaft:
Mindestlohn für Flüchtlinge aussetzen. = Günstiger als Deutsche Mindestlöhner

Also wer in Namen des Teufels will jetzt noch behaupten, dass die Ängste, die die Menschen haben nicht Real wären?"
146,"Afghanistan ist nicht sicher. Dort gibt es Terroranschläge. Und |LBR| wie ist das in D, F und UK? Sind das auch unsichere Staaten?"
147,Der Fehler darin besteht doch es schneller machen zu wollen  und nicht  sofort.
148,Das wär a gute Verteidigungsministerin. ?
149,@Hartes_Geld einzelfall
150,"Das Ziel radikaler #Parteien kann realistischerweise nicht sein, eine Mehrheit in Wahlen zu erringen, sondern die anderen, moderaten Kräfte zu verändern, einzuschüchtern, zu spalten und zu demoralisieren. Die  sollte dies Kalkül nicht aufgehen lassen wie bei #CSU und #FDP."
151,"Im November stehen bei uns in Neubrandenburg 2 Asylanten aus nen Heim in Friedland (MV) vor Gericht, 39facher Diebstahl! Mein Vater hat die bei nen Einbruch erwischt und ist Zeuge, die Lackaffen wurden schon länger überwacht, also die Justiz funktioniert noch, zumindest im Osten :-)"
152,"Stell dir vor, du kannst deinen Kanzler direkt wählen. Würdest du Merkel wählen"
153,"Es geht hier nicht um falsche Bilder, es geht um Propaganda,  welche auch mit für das entstandene Chaos und dessen zukünftige Folgen verantwortlich ist."
154,"_vonMontfort ausgangstweet gelesen??? |LBR| wie soll ich denn bei jemanden „kritisch nachfragen“, wenn diese person nicht anwesend ist? hilfe!!!"
155,Schweizer Medien staunen darüber was in #Berlin abgeht:  💢Arabische Großfamilien bestimmen organisierte Kriminalität mit  💢Polizei oft machtlos  💢Viele bekommen Hartz 4 +tragen Rolex  💢Kriminelle Gelder werden durch Sisha-Bars+Bäckereien sauber gewaschen  https://t.co/ajezipENUZ
156,"@Uwe_Junge_MdL Man sieht wiedereinmal, wie leichtfertig die Merkel-Parteien mit der inneren Sicherheit umgehen."
157,"_1895 Wenn die jetzige Schulgeneration in Aemtern sitzt, ist es vorbei. Die ganze Jugend würde mit Islam indoktriniert, und mit dem Wissen, dass man Moslems niemals kritisieren darf. Sonst bist du raus..."
158,"Wir wünschen einen gesegneten Feiertag. Um 9 Uhr feiert Kard. Marx Hl. Messe am Marienplatz, anschließend Prozession #München #Fronleichnam"
159,"Heute Multikulti Klo, morgen Wasserbetten."
160,Bitte.. wenn gleich denken mit unterschreiben...!!!!☝️    https://t.co/QrQFjrQilK
161, Das steht doch da drin ...
162, Genau das führt unser Kommentator im Text doch aus. /fxn
163,Red-Bull-Gründer Mateschitz startet Portal '#Addendum' als 'Antwort auf die viel zitierte Krise des Journalismus'  https://t.co/78uwYQ3mOi
164,Amine na wenn das UNTER 5% sind xD
165,  Sie stiehlt uns nur Lebenszeit!
166,"Wer draussen aufgewachsen ist, kennt das nicht anders....???"
167,_varietas Was für Komplexe? Ich zeige nur die Mechanismen toxischer Weiblichkeit auf.
168,Warum erhalten die überhaupt Leistungen und nicht Essens.- und Sachleistungen bzw. Marken......?!
169,Illegale Parteienfinanzierung?  Finanzamt entzieht CDU-nahem Verein die Gemeinnützigkeit   https://t.co/iJJRJxuHBJ
170,"Huch, ausgerechnet in Murksels Heimat #Uckermark gab es jetzt eine echte #Hetzjagd: 4 Syrer+ Algerier, bei Bessermenschen auch unter 'Geflüchtete' bzw. 'Fluchtsuchende' bekannt, verprügeln 2 deutsche Jugendliche. Kommentar dazu @regsprecher?  https://t.co/sZOLzPnF0V"
171,Diese Aussage wurde in der ARD einfach rausgeschnitten!
172,_tahirovic Stimmt. Lies lieber den Koran. Da findest Du genug Unsinn.
173,"Syrischer Totschläger erscheint nicht zum Prozess. Weil er untergetaucht ist, konnte die Ladung nicht zugestellt werden, bedauert das Gericht.  https://t.co/d1qECvltEa"
174,Was ist denn mit unseren Generälen los ??Bei dem UNRECHTSSYSTEM wäre doch mal ein Militärputsch schön um 🇩🇪zu retten !!!
175,Wie wird dann eigentlich der Paragraph 182 StGB http://dejure.org/gesetze/StGB/182.html gehandhabt? Wird er ausgesetzt weil er islamfeindlich ist?
176,Ich habe ein #Klimaproblem: es ist einfach viel zu kalt für Frühling.
177,Angela: Entschuldigung Thing-Kreis und weiteres https://t.co/NgMVJvzzkt
178,+++ 🎅 E I L M E L D U N G 🎅 +++   😱🌲🎄🎁 🌲🎄🎁🌲🎄🎁 😱   Heute in 7 Monaten ist Weihnachten   😱 🌲🎄🎁🌲🎄🎁🌲🎄🎁 😱   +++ 🎅 E I L M E L D U N G 🎅 +++
179,@Uwe_Junge_MdL 1. Kein Sozialismus  2. Immer besser als die Alternative 🙈 für Deutschland #noafd  3. Mimimimi
180,"Sehr gute , Hut ab vor dieser Frau."
